"STEP","DESCRIPTION","REALISTIC FAB‑LEVEL PARAMETERS"
"ANNEAL METAL 1","Metal anneal","400 °C forming gas (95% N₂ / 5% H₂), 30 min"
"SPIN COAT PHOTORESIST","Metal litho","3000 rpm"
"SOFT BAKE","Resist bake","95 °C"
"ALIGN MASK LEVEL 4","Metal alignment","Overlay ±100 nm"
"EXPOSE LITHO LEVEL 4","Exposure","120 mJ/cm²"
"DEVELOP PHOTORESIST","Develop","TMAH 60 s"
"METAL PATTERN INSPECTION","Inspect metal","CD ~500 nm"
"METAL ETCH","Metal etch","ICP: Cl₂ 40 sccm, BCl₃ 20 sccm; pressure 10 mTorr; RF 500 W"
"STRIP RESIST","Resist removal","O₂ plasma"
"CLEAN AFTER METAL ETCH","Post-etch clean","Wet clean H₂SO₄/H₂O₂"
"MEASURE LINE WIDTH","Line CD metrology","CD‑SEM 500 nm ±50 nm"
"DEPOSIT PASSIVATION","Passivation","PECVD SiN; SiH₄ 50 sccm, NH₃ 100 sccm; 350 °C; thickness 500 nm"
"CURE PASSIVATION","Cure film","400 °C N₂ anneal 30 min"
"MEASURE PASSIVATION THICKNESS","Thickness check","Ellipsometry ±5%"
"OPEN PAD WINDOW","Pad opening","Target 80 µm"
"PAD WINDOW LITHO","Litho for pads","Resist thickness 1.5 µm"
"DEVELOP PHOTORESIST","Develop","TMAH 60 s"
"PASSIVATION ETCH PAD OPENING","Etch SiN","RIE CF₄ 40 sccm + O₂ 5 sccm"
"STRIP RESIST","Strip resist","O₂ plasma"
"CLEAN PAD OPENING","Pad clean","DI + dilute HCl"
"MEASURE PAD OPENING","Pad metrology","Optical metrology 80 µm ±3 µm"
"FINAL CLEAN","Final wafer clean","DI rinse + N₂ spin dry"
"FINAL THICKNESS MEASURE","Thickness measurement","725 µm ±10 µm"
"FINAL GEOMETRY CHECK","Bow/warp check","Warp <40 µm"
"FINAL PARTICLE INSPECTION","Particle scan","≥0.2 µm threshold"
"PARAMETRIC TEST","Electrical test","Probe station, 25 °C"
"THRESHOLD VOLTAGE TEST","Vth measurement","Target 0.5–0.7 V"
"LEAKAGE TEST","Leakage current","Ioff <10 nA"
"SWITCHING TEST","Speed test","Prop delay <200 ps"
"WAFER SORT TEST","Wafer binning","Automatic test equipment"
"YIELD ANALYSIS","Yield review","Target yield >90%"
"LOT RELEASE","QA release","MES approval"
"SHIP LOT","Ship to packaging","Vacuum-sealed cassette"
