"STEP","DESCRIPTION","REALISTIC FAB‑LEVEL PARAMETERS"
"MEASURE GATE OXIDE THICKNESS","Gate oxide metrology","Ellipsometer ±0.2 nm"
"DEPOSIT POLYSILICON","Poly deposition","LPCVD SiH₄ 200 sccm; 620 °C; 300 mTorr; thickness 200 nm"
"POLYSILICON ANNEAL","Poly anneal","900 °C N₂ 30 min"
"MEASURE POLY THICKNESS","Poly metrology","Reflectometry ±3%"
"SPIN COAT PHOTORESIST","Litho resist coat","3000 rpm"
"SOFT BAKE","Resist bake","95 °C 60 s"
"ALIGN MASK LEVEL 2","Gate mask alignment","Overlay ±80 nm"
"EXPOSE LITHO LEVEL 2","Gate exposure","Dose 110 mJ/cm²"
"DEVELOP PHOTORESIST","Develop resist","0.26 N TMAH"
"POLY PATTERN INSPECTION","Poly inspection","CD‑SEM target ~180 nm"
"POLYSILICON ETCH","Poly etch","ICP RIE HBr 80 sccm, Cl₂ 20 sccm; 10 mTorr; ICP 800 W"
"STRIP RESIST","Resist strip","O₂ plasma"
"CLEAN AFTER POLY ETCH","Post‑etch clean","Dilute HF 50:1 30 s"
"MEASURE GATE CD","Gate CD","CD‑SEM ±5 nm"
"IMPLANT SOURCE DRAIN","Source/drain implant","As⁺ 40 keV; dose 5×10¹⁵ cm⁻²"
"PRE ANNEAL CHECK","Inspection","Particle scan"
"LIGHT ANNEAL","Activation anneal","RTA 1000 °C 5 s"
"MEASURE SHEET RESISTANCE","Sheet resistance","4‑point probe 30–60 Ω/□"
"DEPOSIT SPACER DIELECTRIC","Spacer film deposition","LPCVD Si₃N₄; SiH₂Cl₂/NH₃; 780 °C; 80 nm"
"ANISOTROPIC ETCH SPACER","Spacer etch","RIE CF₄ 40 sccm, CHF₃ 20 sccm; 50 mTorr; 250 W"
"MEASURE SPACER WIDTH","Spacer metrology","SEM ~60 nm"
"IMPLANT LDD","LDD implant","Phosphorus 30 keV; dose 5×10¹³ cm⁻²"
"PRE ANNEAL CHECK","Inspection","Optical scan"
"RAPID THERMAL ANNEAL","Dopant activation","RTA 1000 °C 8 s"
"MEASURE JUNCTION PROFILE","Junction profile","SIMS depth ~120 nm"
"DEPOSIT INTERLAYER DIELECTRIC","ILD deposition","PECVD SiO₂; SiH₄ 100 sccm, N₂O 900 sccm; 350 °C; thickness 800 nm"
"DENSIFY DIELECTRIC","Dielectric densification","Furnace 900 °C N₂ 30 min"
"MEASURE FILM THICKNESS","Film metrology","Reflectometry ±3%"
"CMP DIELECTRIC","Oxide CMP","Slurry silica based; platen 60 rpm; pressure 3 psi"
"MEASURE PLANARITY","Surface check","Optical profilometer <50 nm topography"
"SPIN COAT PHOTORESIST","Via litho resist","3000 rpm"
"SOFT BAKE","Bake resist","95 °C"
"ALIGN MASK LEVEL 3","Via alignment","Overlay ±80 nm"
"EXPOSE LITHO LEVEL 3","Exposure","Dose 120 mJ/cm²"
"DEVELOP PHOTORESIST","Develop resist","TMAH 60 s"
"VIA INSPECTION","Via inspection","SEM CD ~250 nm"
"VIA ETCH","Via etch","ICP C₄F₈ 30 sccm, Ar 50 sccm; pressure 15 mTorr; ICP 900 W"
"STRIP PHOTORESIST","Resist strip","O₂ plasma"
"CLEAN AFTER VIA ETCH","Residue clean","HF 100:1 20 s"
"MEASURE VIA CD","Via CD","CD‑SEM ±15 nm"
"DEPOSIT BARRIER METAL","Barrier deposition","PVD Ti 20 nm + TiN 30 nm"
"DEPOSIT METAL SEED","Cu seed deposition","PVD Cu 100 nm"
"FILL VIA METAL","Copper fill","Electroplate; current density 2 mA/cm²"
"CMP METAL","Cu CMP","Slurry with H₂O₂; pressure 3 psi"
"MEASURE CONTACT RESISTANCE","Electrical metrology","Kelvin structure <10 Ω"
"DEPOSIT METAL 1","Interconnect metal","PVD Al‑0.5%Cu 600 nm"
"ANNEAL METAL 1","Metal anneal","400 °C forming gas 30 min"
"SPIN COAT PHOTORESIST","Resist coat","3000 rpm"
"SOFT BAKE","Bake","95 °C"
"ALIGN MASK LEVEL 4","Alignment","Overlay ±100 nm"
"EXPOSE LITHO LEVEL 4","Exposure","120 mJ/cm²"
"DEVELOP PHOTORESIST","Develop","TMAH"
"METAL PATTERN INSPECTION","Inspection","CD ~500 nm"
"METAL ETCH","Metal etch","ICP Cl₂ 40 sccm, BCl₃ 20 sccm; 10 mTorr; RF 500 W"
"STRIP RESIST","Resist strip","O₂ plasma"
"CLEAN AFTER METAL ETCH","Wet clean","H₂SO₄:H₂O₂"
"MEASURE LINE WIDTH","Line metrology","CD‑SEM ±50 nm"
"DEPOSIT PASSIVATION","Passivation","PECVD SiN; SiH₄ 50 sccm, NH₃ 100 sccm; 350 °C; 500 nm"
"CURE PASSIVATION","Film cure","400 °C N₂ 30 min"
"MEASURE PASSIVATION THICKNESS","Thickness measurement","Ellipsometry ±5%"
"OPEN PAD WINDOW","Pad opening","Target 80 µm"
"PAD WINDOW LITHO","Litho","Resist 1.5 µm"
"DEVELOP PHOTORESIST","Develop","TMAH 60 s"
"PASSIVATION ETCH PAD OPENING","SiN etch","RIE CF₄ 40 sccm + O₂ 5 sccm"
"STRIP RESIST","Strip","O₂ plasma"
"CLEAN PAD OPENING","Clean","DI rinse + dilute HCl"
"MEASURE PAD OPENING","Measurement","Optical metrology"
"BACKSIDE CLEAN","Backside clean","DI + megasonic"
"BACKSIDE GRIND","Wafer thinning","Mechanical grind to 250 µm"
"MEASURE THICKNESS","Thickness check","250 µm ±10 µm"
"BACKSIDE ETCH CLEAN","Damage removal","Wet etch HNA (HF:HNO₃:CH₃COOH) 2 min"
"BACKSIDE RINSE","Rinse","DI cascade rinse"
"BACKSIDE DRY","Dry","N₂ spin dry"
"BACKSIDE METALLIZATION PREP","Surface activation","Ar plasma 200 W 60 s"
"DEPOSIT BACKSIDE METAL","Backside metal","PVD Ti 50 nm / Ni 200 nm / Ag 500 nm"
"BACKSIDE ANNEAL","Anneal metal","400 °C N₂ 20 min"
"MEASURE BACKSIDE CONTACT","Contact measurement","Sheet resistance <0.1 Ω/□"
"FINAL CLEAN","Final clean","DI rinse + N₂ dry"
"FINAL THICKNESS MEASURE","Thickness measurement","250 µm ±10 µm"
"FINAL GEOMETRY CHECK","Warp/bow check","Warp <40 µm"
"FINAL PARTICLE INSPECTION","Particle scan","<10 particles ≥0.2 µm"
"PARAMETRIC TEST","Electrical probe","25 °C probe station"
"THRESHOLD VOLTAGE TEST","Vth test","0.4–0.7 V distribution"
"LEAKAGE TEST","Leakage test","Ioff <10 nA"
"SWITCHING TEST","Dynamic test","Prop delay <200 ps"
"WAFER SORT TEST","Wafer binning","ATE probe system"
"YIELD ANALYSIS","Yield analysis","Target yield >90%"
"LOT RELEASE","QA release","MES signoff"
"SHIP LOT","Shipment","Vacuum sealed wafer cassette"
