"STEP","DESCRIPTION","REALISTIC FAB‑LEVEL PARAMETERS"
"IMPLANT DRAIN / CATHODE REGION","N+ contact implant","Phosphorus 80 keV; dose 1×10¹⁵ cm⁻²"
"PRE ANNEAL CHECK","Inspection","Particle scan"
"RAPID THERMAL ANNEAL","Dopant activation","1000 °C 10 s"
"MEASURE SHEET RESISTANCE","Rs measurement","10–30 Ω/□"
"DEPOSIT GATE OXIDE OR DIELECTRIC","Gate oxide","Dry oxidation 950 °C; thickness 50–80 nm"
"ANNEAL DIELECTRIC","Oxide anneal","900 °C N₂ 30 min"
"MEASURE OXIDE QUALITY","Oxide inspection","Ellipsometry + breakdown test"
"DEPOSIT POLYSILICON","Poly gate deposition","LPCVD SiH₄ 200 sccm; 620 °C; thickness 400 nm"
"POLYSILICON ANNEAL","Poly anneal","900 °C N₂ 30 min"
"MEASURE POLY THICKNESS","Poly thickness","Reflectometry ±5%"
"SPIN COAT PHOTORESIST","Resist coat","3000 rpm"
"SOFT BAKE","Bake","95 °C"
"ALIGN MASK LEVEL 3","Alignment","Overlay ±120 nm"
"EXPOSE LITHO LEVEL 3","Exposure","Dose 120 mJ/cm²"
"DEVELOP PHOTORESIST","Develop","TMAH"
"POLY PATTERN INSPECTION","Pattern check","CD‑SEM ~1 µm"
"POLYSILICON ETCH DRY","Poly etch","ICP RIE HBr 80 sccm, Cl₂ 20 sccm; 10 mTorr; 700 W"
"STRIP RESIST","Strip","O₂ plasma"
"CLEAN AFTER POLY ETCH","Clean","Dilute HF 50:1"
"MEASURE GATE CD","Gate CD","SEM ±0.05 µm"
"IMPLANT CHANNEL STOP","Channel stop implant","Boron 150 keV; dose 1×10¹³ cm⁻²"
"PRE ANNEAL CHECK","Inspection","Particle scan"
"RAPID THERMAL ANNEAL","Activation","1050 °C 10 s"
"MEASURE DEVICE PARAMETER","Electrical test","Test structures for Vth"
"DEPOSIT INTERLAYER DIELECTRIC","ILD deposition","PECVD SiO₂ 1.5 µm"
"DENSIFY DIELECTRIC","Densification","900 °C 30 min"
"MEASURE DIELECTRIC THICKNESS","Metrology","Reflectometry ±3%"
"CMP INTERLAYER DIELECTRIC","CMP planarization","Oxide slurry; pressure 3 psi"
"MEASURE PLANARITY","Planarity check","Profilometer <80 nm"
"SPIN COAT PHOTORESIST","Coat resist","3000 rpm"
"SOFT BAKE","Bake","95 °C"
"ALIGN MASK LEVEL 4","Alignment","Overlay ±150 nm"
"EXPOSE LITHO LEVEL 4","Exposure","140 mJ/cm²"
"DEVELOP PHOTORESIST","Develop","TMAH"
"VIA INSPECTION","Inspection","SEM via CD ~0.8 µm"
"VIA ETCH THROUGH DIELECTRIC","Via etch","ICP C₄F₈/Ar plasma"
"STRIP PHOTORESIST","Strip","O₂ plasma"
"CLEAN AFTER VIA ETCH","Clean","HF dip 30 s"
"MEASURE VIA CD","CD measurement","SEM ±0.05 µm"
"DEPOSIT BARRIER METAL","Barrier deposition","PVD Ti 30 nm / TiN 40 nm"
"DEPOSIT METAL SEED","Seed deposition","PVD AlCu 100 nm"
"FILL VIA METAL","Metal fill","AlCu sputter 1 µm"
"CMP METAL","Metal CMP","Pressure 3 psi"
"MEASURE CONTACT RESISTANCE","Electrical test","Kelvin <5 Ω"
"DEPOSIT TOP METAL","Top metal deposition","PVD Al‑1%Si‑0.5%Cu 3 µm"
"ANNEAL METAL","Metal anneal","400 °C forming gas 30 min"
"MEASURE METAL THICKNESS","Thickness check","Profilometer ±5%"
"SPIN COAT PHOTORESIST","Resist coat","3000 rpm"
"SOFT BAKE","Bake","95 °C"
"ALIGN MASK LEVEL 5","Alignment","±150 nm"
"EXPOSE LITHO LEVEL 5","Exposure","140 mJ/cm²"
"DEVELOP PHOTORESIST","Develop","TMAH"
"METAL PATTERN INSPECTION","Pattern inspection","Optical + SEM"
"METAL ETCH DRY","Metal etch","ICP Cl₂/BCl₃ plasma"
"STRIP RESIST","Strip","O₂ plasma"
"CLEAN AFTER METAL ETCH","Clean","Wet clean H₂SO₄/H₂O₂"
"MEASURE LINE WIDTH","CD metrology","SEM ~5 µm"
"DEPOSIT PASSIVATION","Passivation","PECVD SiN 1 µm"
"CURE PASSIVATION","Cure","400 °C N₂ 30 min"
"MEASURE PASSIVATION QUALITY","Film check","Ellipsometry + defect scan"
"OPEN PAD WINDOW","Pad opening","Target 100 µm"
"PAD WINDOW LITHO","Lithography","Resist 2 µm"
"DEVELOP PHOTORESIST","Develop","TMAH"
"PASSIVATION ETCH PAD OPENING","SiN etch","RIE CF₄/O₂"
"STRIP RESIST","Strip","O₂ plasma"
"CLEAN PAD OPENING","Clean","DI rinse"
"MEASURE PAD OPENING","Measurement","Optical metrology"
"BACKSIDE GRIND","Backside thinning","Grind to 200–250 µm"
"MEASURE THICKNESS","Thickness check","220 µm ±10 µm"
"BACKSIDE ETCH CLEAN","Damage removal","Wet etch HNA"
"BACKSIDE RINSE","DI rinse","Cascade rinse"
"BACKSIDE DRY","Dry","N₂ spin dry"
"BACKSIDE METALLIZATION PREP","Surface activation","Ar plasma 200 W"
"DEPOSIT BACKSIDE METAL","Collector metal","Ti 100 nm / Ni 500 nm / Ag 2 µm"
"BACKSIDE ANNEAL","Metal anneal","420 °C N₂ 30 min"
"MEASURE BACKSIDE CONTACT","Contact measurement","Sheet resistance <0.05 Ω/□"
"FINAL CLEAN","Final clean","DI + N₂ dry"
"FINAL THICKNESS MEASURE","Thickness verification","220 µm ±10 µm"
"FINAL GEOMETRY CHECK","Warp/bow check","Warp <50 µm"
"FINAL PARTICLE INSPECTION","Particle scan","<10 ≥0.2 µm"
"ELECTRICAL PARAMETRIC TEST","Electrical probe","25 °C wafer probe"
"LEAKAGE TEST","Leakage measurement","I_CES <1 µA"
"BREAKDOWN VOLTAGE TEST","Breakdown test","V_BR 600–1200 V depending device"
"SWITCHING TEST","Switching behavior","Turn‑off time <1 µs"
"WAFER SORT TEST","Sort wafers","Automated test equipment"
"YIELD ANALYSIS","Yield analysis","Target >90%"
"LOT RELEASE","Release lot","QA signoff"
"SHIP LOT","Shipment","Vacuum sealed cassette"
