"STEP","DESCRIPTION"
"EXPOSE LITHO LEVEL 2","Expose the resist to define the next pattern."
"DEVELOP PHOTORESIST","Develop resist to reveal the intended pattern."
"FIELD PATTERN INSPECTION","Inspect field or active-area pattern for defects and CDs."
"FIELD OXIDE ETCH","Etch oxide to open the defined area."
"STRIP PHOTORESIST","Remove resist after etch."
"CLEAN AFTER FIELD ETCH","Clean residues and particles from the etched surface."
"MEASURE SURFACE UNIFORMITY","Measure local surface uniformity after patterning."
"IMPLANT SOURCE REGION","Implant source/contact region dopants with defined energy and dose."
"IMPLANT DRAIN / CATHODE REGION","Implant the opposite contact region for diode or power-switch structure."
"PRE ANNEAL CHECK","Check wafer condition before activation anneal."
"RAPID THERMAL ANNEAL","Activate implanted regions and recover crystal quality."
"MEASURE SHEET RESISTANCE","Verify electrical activation by sheet resistance measurement."
"DEPOSIT GATE OXIDE OR DIELECTRIC","Deposit a dielectric layer where needed for isolation or gate structure."
"ANNEAL DIELECTRIC","Anneal dielectric to improve film properties and reduce stress."
"MEASURE OXIDE QUALITY","Inspect dielectric quality, thickness, and defect density."
"DEPOSIT POLYSILICON","Deposit polysilicon gate or auxiliary conductor layer."
"POLYSILICON ANNEAL","Anneal polysilicon to improve grain structure and film behavior."
"MEASURE POLY THICKNESS","Measure polysilicon thickness and across-wafer uniformity."
"SPIN COAT PHOTORESIST","Apply photoresist for poly or conductor patterning."
"SOFT BAKE","Remove solvent and prepare the resist for exposure."
"ALIGN MASK LEVEL 3","Align third lithography mask."
"EXPOSE LITHO LEVEL 3","Expose resist for gate or conductor patterning."
"DEVELOP PHOTORESIST","Develop the resist to define the pattern."
"POLY PATTERN INSPECTION","Inspect the patterned feature for line integrity and CD control."
"POLYSILICON ETCH DRY","Etch polysilicon with directional dry etch."
"STRIP RESIST","Remove photoresist after etch."
"CLEAN AFTER POLY ETCH","Clean residues and prepare for dielectric formation."
"MEASURE GATE CD","Measure critical dimension and verify the target geometry."
"IMPLANT CHANNEL STOP","Implant channel-stop or termination regions to improve edge behavior."
"PRE ANNEAL CHECK","Confirm the wafer is ready for a final thermal cycle."
"RAPID THERMAL ANNEAL","Activate channel-stop implant and stabilize the profile."
"MEASURE DEVICE PARAMETER","Measure key device parameters after implant and anneal."
"DEPOSIT INTERLAYER DIELECTRIC","Deposit interlayer dielectric for isolation and routing."
"DENSIFY DIELECTRIC","Densify dielectric to improve mechanical and electrical stability."
"MEASURE DIELECTRIC THICKNESS","Measure the dielectric thickness after deposition."
"CMP INTERLAYER DIELECTRIC","Polish the dielectric to achieve planarity."
"MEASURE PLANARITY","Check surface topography and remaining step height after CMP."
"SPIN COAT PHOTORESIST","Coat resist for contact/via definition."
"SOFT BAKE","Stabilize the resist film before exposure."
"ALIGN MASK LEVEL 4","Align contact/via mask to underlying features."
"EXPOSE LITHO LEVEL 4","Expose resist to open contact locations."
"DEVELOP PHOTORESIST","Develop the resist to define via openings."
"VIA INSPECTION","Inspect the via pattern for alignment and CD accuracy."
"VIA ETCH THROUGH DIELECTRIC","Etch through dielectric to open contacts."
"STRIP PHOTORESIST","Remove resist after via etch."
"CLEAN AFTER VIA ETCH","Clean residues and prepare for metallization."
"MEASURE VIA CD","Measure via critical dimension and opening quality."
"DEPOSIT BARRIER METAL","Deposit barrier layer to prevent diffusion and improve adhesion."
"DEPOSIT METAL SEED","Deposit seed layer for subsequent metal fill."
"FILL VIA METAL","Fill vias with metal while controlling void formation."
"CMP METAL","Polish excess metal and leave planar contacts."
"MEASURE CONTACT RESISTANCE","Measure contact resistance to confirm metallization quality."
"DEPOSIT TOP METAL","Deposit top metal layer for interconnect or terminal formation."
"ANNEAL METAL","Anneal metal to improve grain structure and adhesion."
"MEASURE METAL THICKNESS","Measure metal thickness and uniformity."
"SPIN COAT PHOTORESIST","Coat resist for final metal patterning."
"SOFT BAKE","Remove solvent and stabilize resist film."
"ALIGN MASK LEVEL 5","Align final metal mask."
"EXPOSE LITHO LEVEL 5","Expose resist for terminal or routing pattern."
"DEVELOP PHOTORESIST","Develop resist to reveal final metal structure."
"METAL PATTERN INSPECTION","Inspect final metal pattern for opens, shorts, and CD variation."
"METAL ETCH DRY","Etch metal according to the designed layout."
"STRIP RESIST","Remove resist after metal etch."
"CLEAN AFTER METAL ETCH","Clean residues and particles from the metal surface."
"MEASURE LINE WIDTH","Measure line width and spacing after etch."
"DEPOSIT PASSIVATION","Deposit passivation to protect the device from moisture and contamination."
"CURE PASSIVATION","Cure the passivation layer to stabilize its properties."
"MEASURE PASSIVATION QUALITY","Check thickness, coverage, and defect density of the passivation."
"OPEN PAD WINDOW","Open bond pad windows for probing and packaging."
"PAD WINDOW LITHO","Pattern resist for pad openings."
"DEVELOP PHOTORESIST","Develop resist to define the pad openings."
"PASSIVATION ETCH PAD OPENING","Etch the passivation at pad sites."
"STRIP RESIST","Remove resist after pad opening."
"CLEAN PAD OPENING","Clean the pad area for electrical access."
"MEASURE PAD OPENING","Verify pad opening dimensions and completeness."
"BACKSIDE GRIND","Thin the wafer backside to target thickness."
"MEASURE THICKNESS","Measure final wafer thickness after backside thinning."
"BACKSIDE ETCH CLEAN","Remove grinding damage and backside residues."
"BACKSIDE RINSE","Rinse the backside to remove particles and etch byproducts."
"BACKSIDE DRY","Dry the wafer thoroughly after backside wet processing."
"BACKSIDE METALLIZATION PREP","Prepare backside for metal deposition and contact formation."
"DEPOSIT BACKSIDE METAL","Deposit backside metal for ohmic contact and thermal performance."
"BACKSIDE ANNEAL","Anneal backside metallization to improve adhesion and contact quality."
"MEASURE BACKSIDE CONTACT","Measure backside contact resistance and uniformity."
"FINAL CLEAN","Perform final clean before electrical and visual inspection."
"FINAL THICKNESS MEASURE","Verify final wafer thickness and mechanical state."
"FINAL GEOMETRY CHECK","Check bow, warp, and edge exclusion."
"FINAL PARTICLE INSPECTION","Perform final particle scan prior to test."
"ELECTRICAL PARAMETRIC TEST","Run device-level electrical tests on the completed wafer."
"LEAKAGE TEST","Measure leakage current and identify failing devices."
"BREAKDOWN VOLTAGE TEST","Test breakdown voltage to verify power robustness."
"SWITCHING TEST","Evaluate switching behavior under representative conditions."
"WAFER SORT TEST","Sort wafers into bins according to test results."
"YIELD ANALYSIS","Analyze"
