"STEP","DESCRIPTION"
"DEVELOP PHOTORESIST","Develop exposed resist to reveal the intended pattern."
"PATTERN INSPECTION LEVEL 1","Inspect the developed pattern for defects, bridging, and CD deviations."
"OXIDE ETCH","Etch oxide in the patterned areas; control etch rate, selectivity, and endpoint."
"STRIP PHOTORESIST","Remove remaining photoresist after etch using wet or plasma strip."
"CLEAN AFTER ETCH","Clean post-etch residues and particles from the wafer surface."
"MEASURE OPENING CD","Measure critical dimension of the patterned opening to verify feature size."
"IMPLANT WELL","Implant well dopants with specified dose, energy, and tilt angle."
"PRE ANNEAL CHECK","Check wafer condition before anneal, including pattern integrity and contamination."
"DRIVE IN DIFFUSION","Drive dopants deeper into the substrate using high temperature diffusion."
"RAPID THERMAL ANNEAL","Perform rapid thermal anneal to activate dopants and repair implant damage."
"MEASURE JUNCTION DEPTH","Measure junction depth and profile to validate implant and anneal results."
"THERMAL OXIDATION","Grow gate oxide or additional dielectric layer depending on process split."
"GATE OXIDE PREP","Prepare the gate area by cleaning and surface conditioning before oxide growth."
"GATE OXIDE GROWTH","Grow thin gate oxide with tight control over thickness and interface quality."
"MEASURE GATE OXIDE THICKNESS","Measure gate oxide thickness and uniformity; this is critical for device performance."
"DEPOSIT POLYSILICON","Deposit polysilicon gate material; monitor thickness and deposition uniformity."
"POLYSILICON ANNEAL","Anneal polysilicon to improve film properties and reduce stress."
"MEASURE POLY THICKNESS","Measure polysilicon thickness and verify across-wafer variation."
"SPIN COAT PHOTORESIST","Apply photoresist for poly gate patterning."
"SOFT BAKE","Soft bake resist to remove solvent and improve adhesion."
"ALIGN MASK LEVEL 2","Align second mask for gate patterning with overlay control."
"EXPOSE LITHO LEVEL 2","Expose the resist using the gate mask."
"DEVELOP PHOTORESIST","Develop the resist to define the gate structure."
"POLY PATTERN INSPECTION","Inspect poly pattern for line-edge roughness, shorts, or missing features."
"POLYSILICON ETCH","Etch polysilicon using a directional etch process with endpoint control."
"STRIP RESIST","Strip resist after poly etch and prepare for subsequent processing."
"CLEAN AFTER POLY ETCH","Remove etch byproducts and residues after gate patterning."
"MEASURE GATE CD","Measure gate critical dimension and compare against target."
"IMPLANT SOURCE DRAIN","Implant source/drain dopants with dose and energy chosen for junction depth."
"PRE ANNEAL CHECK","Verify pattern stability and surface state prior to activation anneal."
"LIGHT ANNEAL","Perform a short anneal to activate dopants and reduce defects."
"MEASURE SHEET RESISTANCE","Measure sheet resistance of source/drain regions to assess implant activation."
"DEPOSIT SPACER DIELECTRIC","Deposit dielectric material for spacer formation; control thickness and conformality."
"ANISOTROPIC ETCH SPACER","Etch dielectric directionally to form sidewall spacers."
"MEASURE SPACER WIDTH","Measure spacer width and profile to ensure correct device geometry."
"IMPLANT LDD","Perform lightly doped drain implant to reduce field concentration near the channel."
"PRE ANNEAL CHECK","Check wafer and feature condition before the second activation step."
"RAPID THERMAL ANNEAL","Activate LDD dopants with a tightly controlled thermal cycle."
"MEASURE JUNCTION PROFILE","Measure junction profile to confirm dopant distribution and depth."
"DEPOSIT INTERLAYER DIELECTRIC","Deposit interlayer dielectric to isolate device layers and metal routing."
"DENSIFY DIELECTRIC","Densify dielectric by thermal treatment to improve film quality and stability."
"MEASURE FILM THICKNESS","Measure dielectric thickness across wafer center and edge."
"CMP DIELECTRIC","Perform chemical mechanical polishing to planarize the dielectric surface."
"MEASURE PLANARITY","Check surface planarity and residual topography after CMP."
"SPIN COAT PHOTORESIST","Coat photoresist for contact/via patterning."
"SOFT BAKE","Soft bake to prepare the resist for exposure."
"ALIGN MASK LEVEL 3","Align the via/contact mask to existing structures."
"EXPOSE LITHO LEVEL 3","Expose resist for contact opening definition."
"DEVELOP PHOTORESIST","Develop the resist to open contact locations."
"VIA INSPECTION","Inspect via openings for CD, alignment, and completeness."
"VIA ETCH","Etch dielectric to open contact vias down to the target layer."
"STRIP PHOTORESIST","Remove photoresist after via etch."
"CLEAN AFTER VIA ETCH","Clean etch residues and prepare the surface for metallization."
"MEASURE VIA CD","Measure via critical dimension and verify target opening size."
"DEPOSIT BARRIER METAL","Deposit barrier layer to prevent metal diffusion and improve adhesion."
"DEPOSIT METAL SEED","Deposit thin seed layer for subsequent metal fill."
"FILL VIA METAL","Fill vias with metal, controlling void formation and coverage."
"CMP METAL","Polish excess metal and leave filled contacts flush with the surface."
"MEASURE CONTACT RESISTANCE","Measure contact resistance to confirm electrical quality of the filled vias."
"DEPOSIT METAL 1","Deposit first interconnect metal layer; monitor thickness and uniformity."
"ANNEAL METAL 1","Anneal metal layer to reduce stress and improve adhesion or grain structure."
"SPIN COAT PHOTORESIST","Coat resist for first metal patterning."
"SOFT BAKE","Soft bake resist before exposure."
"ALIGN MASK LEVEL 4","Align metal routing mask."
"EXPOSE LITHO LEVEL 4","Expose resist using the metal routing mask."
"DEVELOP PHOTORESIST","Develop the resist to reveal metal line pattern."
"METAL PATTERN INSPECTION","Inspect the metal pattern for opens, shorts, and CD variation."
"METAL ETCH","Etch metal according to the defined routing pattern."
"STRIP RESIST","Remove remaining resist after metal etch."
"CLEAN AFTER METAL ETCH","Clean residue and particles from the metal surface."
"MEASURE LINE WIDTH","Measure metal line width and spacing."
"DEPOSIT PASSIVATION","Deposit passivation layer to protect the finished device from contamination and moisture."
"CURE PASSIVATION","Cure the passivation film to stabilize its mechanical and chemical properties."
"MEASURE PASSIVATION THICKNESS","Check passivation thickness and coverage quality."
"OPEN PAD WINDOW","Open bond pad windows to expose contact areas for probing or packaging."
"PAD WINDOW LITHO","Apply and pattern resist for pad opening."
"DEVELOP PHOTORESIST","Develop resist to define pad openings."
"PASSIVATION ETCH PAD OPENING","Etch passivation layer at pad sites."
"STRIP RESIST","Strip resist after pad opening."
"CLEAN PAD OPENING","Clean pad area to ensure low-resistance electrical access."
"MEASURE PAD OPENING","Verify pad opening dimensions and completeness."
"BACKSIDE CLEAN","Clean the wafer backside to remove particles and residues."
"BACKSIDE GRIND","Thin the wafer backside by grinding to target thickness."
"MEASURE THICKNESS","Measure final wafer thickness after backside thinning."
"BACKSIDE ETCH CLEAN","Remove grinding damage and residues from the backside."
"BACKSIDE RINSE","Rinse backside to eliminate particles and etch byproducts."
"BACKSIDE DRY","Dry the wafer thoroughly after backside wet processing."
"BACKSIDE METALLIZATION PREP","Prepare backside for metal deposition, including surface activation."
"DEPOSIT BACKSIDE METAL","Deposit backside metal to support ohmic contact or thermal performance."
"BACKSIDE ANNEAL","Anneal backside metallization to improve adhesion and contact quality."
"MEASURE BACKSIDE CONTACT","Measure backside contact quality and sheet resistance."
"FINAL CLEAN","Perform final clean before electrical and visual inspection."
"FINAL THICKNESS MEASURE","Measure final thickness to confirm customer specification."
"FINAL GEOMETRY CHECK","Inspect wafer geometry, warp, bow, and edge exclusion."
"FINAL PARTICLE INSPECTION","Perform final particle scan before electrical testing."
"PARAMETRIC TEST","Run parametric electrical tests to verify key device characteristics."
"THRESHOLD VOLTAGE TEST","Measure threshold voltage distribution across the wafer."
"LEAKAGE TEST","Check leakage current to identify defective devices or process issues."
"SWITCHING TEST","Evaluate switching behavior under representative operating conditions."
"WAFER SORT TEST","Sort wafers based on electrical test results and binning criteria."
"YIELD ANALYSIS","Analyze yield, defect trends, and any systematic deviations."
"LOT RELEASE","Release the lot after successful processing and test completion."
"SHIP LOT","Prepare and ship the final lot to the next manufacturing stage or customer."
